coaster_name,Length,Speed,Location,Status,Opening date,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date.1,Closing date,Opened,Replaced by,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name,year_introduced,latitude,longitude,Type_Main,opening_date_clean,speed1,speed2,speed1_value,speed1_unit,speed_mph,height_value,height_unit,height_ft,Inversions_clean,Gforce_clean
Millennium Force,"6,595 ft (2,010 m)",93 mph (150 km/h),Cedar Point,Operating,"May 13, 2000",Steel,Intamin,48–78[1] in (122–198 cm),Giga Coaster,310 ft (94 m),0,Cable lift hill,"US$25,000,000",3 trains with 9 cars. Riders are arranged 2 across in 2 rows for a total of 36 riders per train.,Millennium Midway,2:20,"1,300 riders per hour",4.5,Werner Stengel,80°,300 ft (91 m),"May 11, 2000",,Giant Wheel,Out and back,,"May 11, 2000",,,,,,,,,,,,T-bars With Seatbelt,,2000,41.4817,-82.6881,Steel,2000-05-13,93 mph ,150 km/h,93.0,mph,93.0,310.0,ft,,0,4.5
Muskrat Scrambler,"1,183.4 ft (360.7 m)",25 mph (40 km/h),Six Flags New Orleans,Closed,"May 20, 2000",Steel – Family – Wild Mouse,L&T Systems,48 in (122 cm),Wild Mouse 30x20,47.6 ft (14.5 m),,Chain lift hill,,8 trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Cajun Country,,700 riders per hour,,,,,,,,Wild Mouse,,,"August 21, 2005",,,,,,,,,,,,,2000,30.0515,-89.9357,Steel,2000-05-20,25 mph ,40 km/h,25.0,mph,25.0,47.6,ft,,0,
Possessed (roller coaster),704 ft (215 m),70 mph (110 km/h),Other,,,Steel – Inverted – Launched,Intamin,52–78 in (132–198 cm),Twisted Impulse Coaster,180 ft (55 m),0,LIM launch,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,,950 riders per hour,3.7,Werner Stengel,90°,,,Fast Lane available,Skyscraper,Shuttle roller coaster,,,2006,,,,,,,,,,,,,2000,,,Steel,,70 mph ,110 km/h,70.0,mph,70.0,180.0,ft,,0,3.7
Ravine Flyer III,,,Waldameer Park,Operating,2000,Steel,E&F Miler Industries,40 in (102 cm),,,0,Chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,42.109,-80.1565,Steel,2000-01-01,,,,,,,,,0,
RC-48,,,Morey's Piers,Removed,2000,Steel,Pinfari,48 in (122 cm),RC-48,,0,Cable lift hill,,3 cars. Riders are arranged 2 across in 2 rows for a total of 12 riders per train.,Surfside Pier,,,,,,,,,,,,,2004,,,,,,,,,,,,,2000,38.9888,-74.8023,Steel,2000-01-01,,,,,,,,,0,
Road Runner Express (Six Flags Kentucky Kingdom),"1,213.9 ft (370.0 m)",28 mph (45 km/h),Other,,,Steel – Wild Mouse – Family,Maurer AG,46 in (117 cm),Wilde Maus Classic,49.25 ft (15.01 m),0,,,,DC Universe,1:32,900 riders per hour,,Ingenieur Buro Stengel GmbH,46°,,,,The Vampire,,,,2009,,"Professor John's Flying Machines, and Cyclos",,Flash Pass Available,,,,,,,,,2000,,,Steel,,28 mph ,45 km/h,28.0,mph,28.0,49.25,ft,,0,
Road Runner Express (Six Flags New Orleans),679.2 ft (207.0 m),21.7 mph (34.9 km/h),Other,,,Steel – Junior,Vekoma,36 in (91 cm),Junior Coaster (207m),27.9 ft (8.5 m),0,Chain lift hill,,Single train with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,0:44,780 riders per hour,,,,,,,,,,,"August 21, 2005",,,,,Must transfer from wheelchair,,,,,,,,2000,,,Steel,,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Road Runner Rollercoaster,"335 m (1,099 ft)",45.9 km/h (28.5 mph),Warner Bros. Movie World,,,Steel – Junior,Vekoma,,Junior Coaster (335m),13 m (43 ft),0,,AU$9 million,2 trains with 8 cars. Riders are arranged 2 across in a single row for a total of 16 riders per train.,,1:06,1000 riders per hour,,,,,,,Looney Tunes Musical Revue,,,,,,,,,,,,,,,,Correcaminos Bip Bip,2000,,,Steel,,45.9 km/h ,28.5 mph,45.9,km/h,28.5,13.0,m,42.7,0,
Roller Coaster (Papéa Parc),"1,181.1 ft (360.0 m)",22.4 mph (36.0 km/h),Other,,,Other,Zierer,,Large Tivoli,26.3 ft (8.0 m),0,,,Single train with 20 cars. Riders are arranged 2 across in a single row for a total of 40 riders per train.,,,"1,250 riders per hour",,Werner Stengel,,25 ft (7.6 m),,,,Double Figure Eight,,,"September 16, 2007",,,,,,,,,,,,Beaver Land Mine Ride,2000,41.3535,-81.3756,Other,,22.4 mph ,36.0 km/h,22.4,mph,22.4,26.3,ft,,0,
Roller Coaster (Suoi Tien Park),"1,200 m (3,900 ft)",70 km/h (43 mph),Suoi Tien Amusement Park,Operating,2000,Steel,Vekoma,48 in (122 cm),,30 m (98 ft),0,Drive tire,VND 30 billions,,Đại Cung Lạc Cảnh Hồ,2:30,1600 riders per hour,2.0,,45°,12 m (39 ft),,,,,,,,,,,,,,,,,,,,2000,10.8607,106.8044,Steel,2000-01-01,70 km/h ,43 mph,70.0,km/h,43.5,30.0,m,98.4,0,2.0
Son of Beast,"7,032 ft (2,143 m)",78.4 mph (126.2 km/h),Kings Island,Removed,"April 28, 2000",Wood,Roller Coaster Corporation of America,48 in (122 cm),,218 ft (66 m),1,Chain lift hill,"$20,500,000 USD (approximately)",2 Gerstlauer trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Action Zone,2:20,1600 riders per hour,4.5,Werner Stengel,55.7°,214 ft (65 m),,,,Terrain roller coaster,,,"June 16, 2009",,Banshee,,,,,,,,,,,2000,39.3461,-84.2647,Wood,2000-04-28,78.4 mph ,126.2 km/h,78.4,mph,78.4,218.0,ft,,1,4.5
Speed – The Ride,"1,365 ft (416 m)",70 mph (110 km/h),Other,,"April 28, 2000",Steel – Launched – Shuttle,Premier Rides,54 in (137 cm),,224 ft (68 m),1,,,,Nascar Café,0:45,1600 riders per hour,3.5,Werner Stengel,90°,,,,,,,,"May 1, 2011",,,,,,,,,,0 to 45 to 70mph,,,2000,,,Steel,2000-04-28,70 mph ,110 km/h,70.0,mph,70.0,224.0,ft,,1,3.5
Speed of Sound (roller coaster),935 ft (285 m),47 mph (76 km/h),Walibi Holland,Operating,"April 22, 2000",Steel – Shuttle – Boomerang,Vekoma,48 in (122 cm),Boomerang,116.5 ft (35.5 m),3,Chain Lift Hill,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,W.A.B Plaza,1:48,760 riders per hour,5.2,Vekoma,56°,,,,,,,,,,,,,,,,,,,,,2000,52.4406,5.7681,Steel,2000-04-22,47 mph ,76 km/h,47.0,mph,47.0,116.5,ft,,3,5.2
Steel Dragon 2000,"2,479 m (8,133 ft)",152.9 km/h (95.0 mph),Nagashima Spa Land,Operating,1 August 2000,Steel,D. H. Morgan Manufacturing,140–185 cm (4 ft 7 in–6 ft 1 in),,97 m (318 ft),0,One lift hill with two chains,"$52,000,000 USD",Multiple trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,,4:00,,,Steve Okamoto,68°,93.5 m (307 ft),,,,Out and back,,,,,,,,,,,,,,,,2000,35.0312,136.7301,Steel,2000-08-01,152.9 km/h ,95.0 mph,152.9,km/h,95.0,97.0,m,318.2,0,
Superman – Ride of Steel,"5,400 ft (1,600 m)",73 mph (117 km/h),Other,,,Steel,Intamin,54–76 in (137–193 cm),Mega Coaster,208 ft (63 m),0,Chain lift hill,"$12,000,000 USD",2 trains with 8 cars. Riders are arranged 2 across in 2 rows for a total of 32 riders per train.,Gotham City,2:02,1100 riders per hour,,Werner Stengel,68°,205 ft (62 m),,,,,,,,,,,,,,,,,,,,2000,,,Steel,,73 mph ,117 km/h,73.0,mph,73.0,208.0,ft,,0,
Superman The Ride,"5,400 ft (1,600 m)",77 mph (124 km/h),Six Flags New England,Operating,"May 5, 2000",Steel,Intamin,54–76 in (137–193 cm),Mega Coaster,208 ft (63 m),0,Chain lift hill,"Approx: $12,000,000",2 trains with 9 cars. Riders are arranged 2 across in 2 rows for a total of 36 riders per train.,DC Universe,2:35,1300 riders per hour,3.6,Werner Stengel,72°,221 ft (67 m),,,Riverside Park Speedway,Out and BackTwister,,,,,,,,,,,,Flash Pass available,,,,2000,42.0386,-72.6114,Steel,2000-05-05,77 mph ,124 km/h,77.0,mph,77.0,208.0,ft,,0,3.6
Superman: Krypton Coaster,"4,025 ft (1,227 m)",70 mph (110 km/h),Six Flags Fiesta Texas,Operating,"March 11, 2000",Steel – Floorless Coaster,Bolliger & Mabillard,54 in (137 cm),Floorless Coaster - Custom,168 ft (51 m),6,Chain lift hill,$20 million,3 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Spassburg,2:35,1600 riders per hour,3.8,Werner Stengel,58°,163 ft (50 m),,,,Terrain,,,,,,,,,,,,Flash Pass available,,,,2000,29.5952,-98.61,Steel,2000-03-11,70 mph ,110 km/h,70.0,mph,70.0,168.0,ft,,6,3.8
Svalbard Ekspressen,679.2 ft (207.0 m),21.7 mph (34.9 km/h),Kongeparken,Operating,2000,Steel,Vekoma,,Junior Coaster (207m),27.9 ft (8.5 m),0,,,,,0:44,780 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2000,58.7801,5.8405,Steel,2000-01-01,21.7 mph ,34.9 km/h,21.7,mph,21.7,27.9,ft,,0,
Untamed (Walibi Holland),3559.7 ft,57.2 mph,Walibi Holland,Operating,"July 1, 2019",Steel,Rocky Mountain Construction,120 cm (3 ft 11 in),IBox Track,119.8 ft,5,Chain lift hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Wilderness,1:46,900 riders per hour,,Alan Schilke,80°,116.1 ft,,,Robin Hood,,,,,,,,,,,,,,,,,2000,52.4428,5.7608,Steel,2019-07-01,57.2 mph,,57.2,mph,57.2,119.8,ft,,5,
Villain (roller coaster),"3,980 ft (1,210 m)",59 mph (95 km/h),Geauga Lake,Removed,"May 5, 2000",Other,Custom Coasters International,48 in (122 cm),,120 ft (37 m),0,Lift Hill,,2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,2:30,,,,,108 ft (33 m),,,,Out and Back,,,"September 16, 2007",,,,,,,,,,,,,2000,41.3528,-81.3725,Other,2000-05-05,59 mph ,95 km/h,59.0,mph,59.0,120.0,ft,,0,
Woodstock Express (Dorney Park),262.5 ft (80.0 m),13 mph (21 km/h),Dorney Park & Wildwater Kingdom,Operating,"May 5, 2000",Steel,Zamperla,42 in (107 cm),Family Gravity Coaster 80STD,13 ft (4.0 m),0,,,Single train with 6 cars. Riders are arranged 2 across in a single row for a total of 12 riders per train.,Planet Snoopy,,,,,,8 ft (2.4 m),,,,,,,,,,,,,,,,,,,,2000,40.5793,-75.5326,Steel,2000-05-05,13 mph ,21 km/h,13.0,mph,13.0,13.0,ft,,0,
Xpress: Platform 13,"3,267 ft (996 m)",55.9 mph (90.0 km/h),Walibi Holland,Operating,April 2000,Steel – Launched,Vekoma,120 cm (3 ft 11 in),LSM Launch,85 ft (26 m),3,LSM,,,Hollywood The Main Street,100 seconds,1200 riders per hour,,,,,,,,,,,,,,,,,,,,,0 − 55.9 mph in 2.8 seconds,,,2000,52.4392,5.7639,Steel,2000-04-01,55.9 mph ,90.0 km/h,55.9,mph,55.9,85.0,ft,,3,
Zydeco Scream,935 ft (285 m),47 mph (76 km/h),Other,,,Steel – Boomerang,Vekoma,48 in (122 cm),Boomerang,116.5 ft (35.5 m),3,,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Pontchartrain Beach,1:48,760 riders per hour,5.2,Arrow Dynamics,,,,,,,,,,,,,,,,,,,,,,2000,,,Steel,,47 mph ,76 km/h,47.0,mph,47.0,116.5,ft,,3,5.2
Batwing (roller coaster),"3,340 ft (1,020 m)",50 mph (80 km/h),Six Flags America,Operating,"June 16, 2001",Steel – Flying,Vekoma,54–78 in (137–198 cm),Flying Dutchman (1018m),115 ft (35 m),5,,,2 trains with 6 cars. Riders are arranged 4 across in a single row for a total of 24 riders per train.,Gotham City,2:02,850 riders per hour,4.3,Vekoma,33°,103 ft (31 m),,,,,,,,,,,Flash Pass Available,,,,,,,,,2001,38.9103,-76.7786,Steel,2001-06-16,50 mph ,80 km/h,50.0,mph,50.0,115.0,ft,,5,4.3
California Screamin',"6,072 ft (1,851 m)",55 mph (89 km/h),Disney California Adventure,Operating,"February 8, 2001June 23, 2018",Steel – Launched,Intamin,48 in (122 cm),Looping Coaster,122 ft (37 m),1,Linear induction motor (LIM)[1],US$60 million,7 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pixar Pier,2:36,,,Walt Disney Imagineering,,108 ft (33 m),,,,Custom,,,,,,,,Must transfer from wheelchair,Boardwalk wooden coaster (2001 - 2018)The Incredibles (2018 - present),Single rider line available,,,0 to 55 mph (0 to 89 km/h) in 4.5 seconds,Over-the-shoulders restraint,,2001,33.8046,-117.9218,Steel,2001-02-08,55 mph ,89 km/h,55.0,mph,55.0,122.0,ft,,1,
Cheetah (Wild Adventures),"2,680 ft (820 m)",52 mph (84 km/h),Wild Adventures,Removed,"June 16, 2001",Wood,Custom Coasters International,48 in (122 cm),Steel frame,92 ft (28 m),0,Chain lift hill,"US$4,500,000",2 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Main Park,1:04,1200 riders per hour,,,,90 ft (27 m),,,,Out and back,,,"March 15, 2020",,,,,,,,,,,,,2001,30.7196,-83.3257,Wood,2001-06-16,52 mph ,84 km/h,52.0,mph,52.0,92.0,ft,,0,
Colossos - Kampf der Giganten,"1,344 m (4,409 ft)",110 km/h (68 mph),Heide Park,Operating,"April 13, 2001",Wood,Intamin,55 in (140 cm),Wooden Coaster (prefabricated track),50.0 m (164.0 ft),0,Chain lift hill,,,Land der Vergessenen,2:25,"1,030 riders per hour","-1,5g and 4,5g",Werner Stengel,61°,48.5 m (159 ft),,,,Out and back,,,,,,,,,,,,,,,,2001,53.0231,9.8833,Wood,2001-04-13,110 km/h ,68 mph,110.0,km/h,68.4,50.0,m,164.0,0,4.5
Cornball Express,"2,100 ft (640 m)",45 mph (72 km/h),Indiana Beach,Operating,"May 18, 2001",Wood,Custom Coasters International,44 in (112 cm),,55 ft (17 m),0,Chain,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,,51 Seconds,,4.7,,,50 ft (15 m),,,,Wood,,,,,,,,,,,,,,,,2001,40.7898,-86.771,Wood,2001-05-18,45 mph ,72 km/h,45.0,mph,45.0,55.0,ft,,0,4.7
Déjà Vu (roller coaster),"367 m (1,204 ft)",105.6 km/h (65.6 mph),Other,In Production,,Other,Vekoma,,,59 m (194 ft),,,,,,About 1:32 minutes,870 riders per hour,,,,54 m (177 ft),,,,,,,,,,,,,,,Over-the-shoulder,,,,,2001,,,Other,,105.6 km/h ,65.6 mph,105.6,km/h,65.6,59.0,m,193.6,0,
Do-Dodonpa,"1,244 m (4,081 ft)",180 km/h (110 mph),Fuji-Q Highland,Closed,21 December 2001,Steel,S&S – Sansei Technologies,130 cm (4 ft 3 in),Air-Launched Coaster,49 m (161 ft),1,Compressed air launch,,4 trains with 4 cars. Riders are arranged 2 across in a single row for a total of 8 riders per train.,,,80 riders per hour,,,,,,,,,,,,,,,,,,,,,0 to 180 km/h (0 to 112 mph) in 1.6 seconds,,,2001,35.4877,138.7823,Steel,2001-12-21,180 km/h ,110 mph,180.0,km/h,111.8,49.0,m,160.8,1,
Expedition GeForce,"4,002.7 ft (1,220.0 m)",74.6 mph (120.1 km/h),"Holiday Park, Germany",Operating,"June 18, 2001",Steel,Intamin,55 in (140 cm),,174 ft (53 m),0,,,,,1:15,1300 riders per hour,4.5,Werner Stengel,82°,168 ft (51 m),,,,,,,,,,,,,,,,,,,,2001,49.32,8.295,Steel,2001-06-18,74.6 mph ,120.1 km/h,74.6,mph,74.6,174.0,ft,,0,4.5
Flying Ace Aerial Chase,"1,122 ft (342 m)",26 mph (42 km/h),Kings Island,Operating,2001,Steel – Family – Inverted,Vekoma,44–76 in (112–193 cm),Suspended Family Coaster 342m,48.6 ft (14.8 m),0,Tire propelled lift hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,Planet Snoopy,1:30,650 riders per hour,2.2,Peter Clerx,,,,Fast Lane available,,,,,,,,,,Must transfer from wheelchair,,,,,,,,2001,,,Steel,2001-01-01,26 mph ,42 km/h,26.0,mph,26.0,48.6,ft,,0,2.2
Giant Inverted Boomerang,"367 m (1,204 ft)",105.6 km/h (65.6 mph),Other,In Production,,Other,Vekoma,,,59 m (194 ft),,,,,,About 1:32 minutes,870 riders per hour,,,,54 m (177 ft),,,,,,,,,,,,,,,Over-the-shoulder,,,,,2001,,,Other,,105.6 km/h ,65.6 mph,105.6,km/h,65.6,59.0,m,193.6,0,
The Gold Coaster,"900 m (3,000 ft)",85 km/h (53 mph),Other,,,Steel,Arrow Dynamics,120–205 cm (3 ft 11 in–6 ft 9 in),,40 m (130 ft),2,Chain lift hill,,Single train with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Ocean Parade,,400 riders per hour,3,,,,,,,,,,27 January 2001,,,Official website,,,Circa 1970s Gold Coast,,,,,,,2001,,,Steel,,85 km/h ,53 mph,85.0,km/h,52.8,40.0,m,131.2,2,3.0
Goofy's Sky School,"1,200 ft (370 m)",27 mph (43 km/h),Disney California Adventure,Operating,"February 8, 2001(as Mullholland Madness)July 1, 2011(as Goofy's Sky School)",Steel – Wild Mouse,Mack Rides,42 in (107 cm),,55 ft (17 m),0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Paradise Gardens Park,1:45,,,Walt Disney Imagineering,,,,,,,,,"October 12, 2010(as Mulholland Madness)",,,,,Must transfer from wheelchair,,Single rider line available,,,,,,2001,33.8063,-117.923,Steel,2001-02-08,27 mph ,43 km/h,27.0,mph,27.0,55.0,ft,,0,
Hypersonic XLC,"1,560 ft (480 m)",80 mph (130 km/h),Kings Dominion,Removed,"March 24, 2001",Steel – Launched,S&S – Sansei Technologies,54 in (137 cm),Thrust Air 2000,165 ft (50 m),0,Pneumatic,"$15,000,000 USD",,The Grove,16 seconds,"1,380 riders per hour",4.0,S&S – Sansei Technologies,90°,133 ft (41 m),,,,out-and-back,,,"October 28, 2007",,El Dorado WindSeeker,,,,,,,,0-80 in 1.8 seconds,,,2001,37.8372,-77.446,Steel,2001-03-24,80 mph ,130 km/h,80.0,mph,80.0,165.0,ft,,0,4.0
Incredicoaster,"6,072 ft (1,851 m)",55 mph (89 km/h),Disney California Adventure,Operating,"February 8, 2001June 23, 2018",Steel – Launched,Intamin,48 in (122 cm),Looping Coaster,122 ft (37 m),1,Linear induction motor (LIM)[1],US$60 million,7 trains with 6 cars. Riders are arranged 2 across in 2 rows for a total of 24 riders per train.,Pixar Pier,2:36,,,Walt Disney Imagineering,,108 ft (33 m),,,,Custom,,,,,,,,Must transfer from wheelchair,Boardwalk wooden coaster (2001 - 2018)The Incredibles (2018 - present),Single rider line available,,,0 to 55 mph (0 to 89 km/h) in 4.5 seconds,Over-the-shoulders restraint,,2001,33.8046,-117.9218,Steel,2001-02-08,55 mph ,89 km/h,55.0,mph,55.0,122.0,ft,,1,
Insane Speed,"2,677.17 ft (816.00 m)",53.4 mph (85.9 km/h),Janfusun Fancyworld,Operating,2001,Steel – Floorless Coaster,Bolliger & Mabillard,54 in (137 cm),Floorless Coaster,,4,Chain lift hill,,,,,1200 riders per hour,4,Werner Stengel,,131.25 ft (40.01 m),,,,,,,,,,,,,,,,,,,,2001,23.6187,120.5758,Steel,2001-01-01,53.4 mph ,85.9 km/h,53.4,mph,53.4,,,,4,4.0
Lego Technic Test Track,"400 m (1,300 ft)",56.3 km/h (35.0 mph),Other,,,Steel – Wild Mouse,Mack Rides,,Wild Mouse (large park),15.8 m (52 ft),0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,1:35,,,,,15.2 m (50 ft),,,,,,,,,,,,,,,,,,,Das große LEGO-Rennen,2001,,,Steel,,56.3 km/h ,35.0 mph,56.3,km/h,35.0,15.8,m,51.8,0,
MP Xpress,"689 m (2,260 ft)",80 km/h (50 mph),Movie Park Germany,Operating,"April 6, 2001",Steel – Inverted,Vekoma,,Suspended Looping Coaster (689m Standard),33.3 m (109 ft),5,,,2 trains with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,The Old West,1:36,1040 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2001,51.6246,6.9733,Steel,2001-04-06,80 km/h ,50 mph,80.0,km/h,49.7,33.3,m,109.3,5,
Mulholland Madness,"1,200 ft (370 m)",27 mph (43 km/h),Disney California Adventure,Operating,"February 8, 2001(as Mullholland Madness)July 1, 2011(as Goofy's Sky School)",Steel – Wild Mouse,Mack Rides,42 in (107 cm),,55 ft (17 m),0,Chain lift hill,,Several trains with a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,Paradise Gardens Park,1:45,,,Walt Disney Imagineering,,,,,,,,,"October 12, 2010(as Mulholland Madness)",,,,,Must transfer from wheelchair,,Single rider line available,,,,,,2001,33.8063,-117.923,Steel,2001-02-08,27 mph ,43 km/h,27.0,mph,27.0,55.0,ft,,0,
Nitro (Six Flags Great Adventure),"5,394 ft (1,644 m)",80 mph (130 km/h),Six Flags Great Adventure,Operating,"April 7, 2001",Steel,Bolliger & Mabillard,54 in (137 cm),Hyper Coaster,230 ft (70 m),0,Chain lift hill,"$20,000,000",3 trains with 9 cars. Riders are arranged 4 across in a single row for a total of 36 riders per train.,Adventure Seaport,2:20,1800 riders per hour,4.3,,68°,215 ft (66 m),,,,L-shaped Out and Back,,,,,,,Flash Pass Available,,,,,,,,,2001,40.1356,-74.4444,Steel,2001-04-07,80 mph ,130 km/h,80.0,mph,80.0,230.0,ft,,0,4.3
Phantom's Revenge,"3,200 ft (980 m)",85 mph (137 km/h),Kennywood,Operating,"May 10, 1991",Steel,D. H. Morgan Manufacturing,48 in (122 cm),Hyper Coaster,160 ft (49 m),0,Chain lift hill,$4.6 million,2 trains with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Lost Kennywood,1:57,1400 riders per hour,3.5,,52°,228 ft (69 m),,,Laser Loop,Terrain Mega Coaster,,,,,,,,,,,,,,,,2001,40.389,-79.866,Steel,1991-05-10,85 mph ,137 km/h,85.0,mph,85.0,160.0,ft,,0,3.5
Silver Streak (Canada's Wonderland),"1,122.1 ft (342.0 m)",26 mph (42 km/h),Canada's Wonderland,Operating,"May 6th, 2001",Steel – Inverted,Vekoma,44 in (112 cm),Suspended Family Coaster,48.6 ft (14.8 m),0,Booster Wheel Lift Hill,,Single train with 10 cars. Riders are arranged 2 across in a single row for a total of 20 riders per train.,KidZville,1:16,650 riders per hour,,,,,,,,,,,,,,,,,,,,,,,,2001,43.8424,-79.5462,Steel,2001-05-06,26 mph ,42 km/h,26.0,mph,26.0,48.6,ft,,0,
Talon (roller coaster),"3,110 ft (950 m)",58 mph (93 km/h),Dorney Park & Wildwater Kingdom,Operating,"May 5, 2001",Steel – Inverted,Bolliger & Mabillard,54 in (137 cm),Inverted Coaster,135 ft (41 m),4,Chain lift hill,"$13,000,000 USD",2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,,2:00,1200 riders per hour,4.5,Werner Stengel,50°,120 ft (37 m),,Fast Lane available,,,,,,,,,,,,,,,,,,2001,40.579,-75.53,Steel,2001-05-05,58 mph ,93 km/h,58.0,mph,58.0,135.0,ft,,4,4.5
The Flash: Vertical Velocity,630 ft (190 m),65 mph (105 km/h),Six Flags Discovery Kingdom,SBNO (Standing But Not Operating),"June 8, 2001",Steel – Launched – Inverted,Intamin,54–75 in (137–191 cm),Shuttle coaster,150 ft (46 m),1,LIM,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,DC Universe,1:10,900 riders per hour,,Werner Stengel,90°,150 ft (46 m),,,,Twisted Impulse,,,,,,,Flash Pass Available,,,,,,0-60 mph in 4.0 seconds,,,2001,38.1382,-122.2323,Steel,2001-06-08,65 mph ,105 km/h,65.0,mph,65.0,150.0,ft,,1,
Thundercoaster (TusenFryd),"950 m (3,120 ft)",93 km/h (58 mph),TusenFryd,Operating,1 May 2001,Wood,Vekoma,,,,0,Chain lift hill,,2 trains with 12 cars. Riders are arranged 2 across in a single row for a total of 24 riders per train.,,2:00,,2.4,,57.3°,32 m (105 ft),,,,,,,,,,,,,,,,,,,,2001,59.7472,10.7773,Wood,2001-05-01,93 km/h ,58 mph,93.0,km/h,57.8,,,,0,2.4
Titan (Six Flags Over Texas),"5,312 ft (1,619 m)",85 mph (137 km/h),Six Flags Over Texas,Operating,"April 27, 2001",Steel,Giovanola,48 in (122 cm),Hyper Coaster,245 ft (75 m),0,Chain lift hill,,3 trains with 5 cars. Riders are arranged 2 across in 3 rows for a total of 30 riders per train.,Texas,3:30,1600 riders per hour,,Werner Stengel,,255 ft (78 m),"April 26, 2001",,,Twister,,"April 26, 2001",,,,Official website,Flash Pass Available,,,,,,,,,2001,32.7556,-97.0742,Steel,2001-04-27,85 mph ,137 km/h,85.0,mph,85.0,245.0,ft,,0,
Vertical Velocity (roller coaster),630 ft (190 m),70 mph (110 km/h),Six Flags Great America,Temporarily closed,"May 18, 2001; 20 years ago",Steel – Inverted – Launched,Intamin,54–80 in (137–203 cm),Shuttle Coaster,186 ft (57 m),0,LIM,,Single train with 7 cars. Riders are arranged 2 across in 2 rows for a total of 28 riders per train.,Yankee Harbor,,1100 riders per hour,,,,,,,,Twisted Impulse,,,,,,,Flash Pass Available,Must transfer from wheelchair,,,,,,,,2001,42.3679,-87.9324,Steel,2001-05-18,70 mph ,110 km/h,70.0,mph,70.0,186.0,ft,,0,
Vonkaputous,"1,082.8 ft (330.0 m)",37.3 mph (60.0 km/h),Linnanmäki,Removed,12 May 2001,Steel,Premier Rides,,Liquid Coaster,79 ft (24 m),0,,"22,000,000 FIM (€4,600,000; inflation-adjusted)",,,1:00,,2.5,Werner Stengel,,,,,,,,,22 October 2017,,Taiga,,,,,,,,,,,2001,60.1883,24.9381,Steel,2001-05-12,37.3 mph ,60.0 km/h,37.3,mph,37.3,79.0,ft,,0,2.5
Wildfire (Silver Dollar City),"3,073 ft (937 m)",66 mph (106 km/h),Silver Dollar City,Operating,"April 4, 2001",Steel,Bolliger & Mabillard,52 in (132 cm),Sitting Coaster,120 ft (37 m),5,Chain lift hill,US$14 million,2 trains with 8 cars. Riders are arranged 4 across in a single row for a total of 32 riders per train.,Hugo's Hill Street,2:16,"1,300 riders per hour",3.6,Werner Stengel,63°,155 ft (47 m),,,,Custom,,,,,,,,,,,,,,,,2001,36.6686,-93.3425,Steel,2001-04-04,66 mph ,106 km/h,66.0,mph,66.0,120.0,ft,,5,3.6
Wile E. Coyote's Grand Canyon Blaster,,,"Arlington, Texas, U.S.",Operating,,Other,,,,,,,,,,,,,,,,,,,,,,,"August 4, 1961",,Official website,,,,,,,,,,2001,32.7557,-97.0702,Other,,,,,,,,,,0,
